#comment:								
#pole shoe:	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I [A]	H [mT]	hallErr	avgDiff	errDiff	avgSum	errSum	Norm	errNorm
-1.00000	-34.00774	0.46118	0.00020	0.00013	-0.00591	0.00005	-0.12745	0.16899
-1.10000	-38.53587	0.67802	0.00017	0.00016	-0.00585	0.00004	0.07358	0.19793
-1.20000	-43.27207	0.41703	0.00028	0.00008	-0.00588	0.00003	-0.03904	0.16331
-1.30000	-48.32147	0.42074	0.00033	0.00012	-0.00594	0.00006	-0.24908	0.17729
-1.40000	-52.55765	0.59654	0.00025	0.00014	-0.00590	0.00003	-0.10809	0.09540
-1.50000	-56.54385	0.46925	0.00029	0.00019	-0.00583	0.00001	0.13240	0.12031
-1.60000	-61.75267	0.34881	0.00039	0.00010	-0.00582	0.00001	0.16743	0.11059
-1.70000	-66.23378	0.09785	0.00036	0.00006	-0.00592	0.00004	-0.18798	0.19187
-1.80000	-71.25590	0.21648	0.00036	0.00012	-0.00591	0.00004	-0.14374	0.22970
-1.90000	-75.00051	0.19961	0.00022	0.00013	-0.00588	0.00002	-0.03548	0.16636
-2.00000	-80.74751	0.30519	0.00029	0.00005	-0.00582	0.00006	0.18337	0.24632
-2.10000	-85.09210	0.35708	0.00026	0.00012	-0.00590	0.00007	-0.08665	0.30690
-2.20000	-89.41243	0.49994	0.00020	0.00013	-0.00583	0.00005	0.15845	0.21114
-2.30000	-93.99989	0.28469	0.00019	0.00012	-0.00582	0.00003	0.19976	0.18436
-2.40000	-98.24326	0.24457	0.00010	0.00020	-0.00586	0.00004	0.04951	0.23043
-2.50000	-103.24001	0.18144	0.00018	0.00018	-0.00586	0.00006	0.06135	0.19115
-2.60000	-107.45896	0.20147	0.00018	0.00010	-0.00583	0.00002	0.14106	0.16421
-2.70000	-112.28233	0.22715	0.00021	0.00010	-0.00590	0.00004	-0.09134	0.09315
-2.80000	-117.67715	0.38177	0.00022	0.00009	-0.00587	0.00007	0.00203	0.28804
-2.90000	-122.08397	0.27161	0.00028	0.00011	-0.00591	0.00003	-0.14110	0.03909
-3.00000	-126.36360	0.26658	0.00029	0.00013	-0.00596	0.00005	-0.29317	0.20575
-3.10000	-131.14459	0.47772	0.00032	0.00024	-0.00592	0.00004	-0.18616	0.12245
-3.20000	-135.53564	0.15231	0.00032	0.00013	-0.00584	0.00004	0.10255	0.10800
-3.30000	-140.21992	0.61459	0.00036	0.00013	-0.00591	0.00006	-0.15752	0.24683
-3.40000	-144.63254	0.40930	0.00004	0.00010	-0.00582	0.00004	0.19922	0.14604
-3.50000	-149.29680	0.24600	0.00007	0.00012	-0.00578	0.00004	0.35825	0.22697
-3.60000	-154.28715	0.33092	0.00030	0.00014	-0.00593	0.00005	-0.21151	0.25812
-3.70000	-159.94294	0.26446	0.00009	0.00021	-0.00583	0.00008	0.16157	0.26286
-3.80000	-164.02643	0.15190	0.00012	0.00018	-0.00585	0.00003	0.08656	0.02059
-3.90000	-168.66590	0.51976	0.00025	0.00020	-0.00581	0.00003	0.22128	0.11297
-4.00000	-173.20665	0.67308	0.00025	0.00024	-0.00591	0.00006	-0.14951	0.28200
-4.10000	-177.99029	0.33078	0.00018	0.00013	-0.00580	0.00006	0.24942	0.24666
-4.20000	-181.86744	0.21096	0.00024	0.00015	-0.00595	0.00006	-0.26140	0.15368
-4.30000	-186.90682	0.45977	0.00019	0.00021	-0.00581	0.00004	0.22803	0.18326
-4.40000	-191.65930	0.50924	0.00024	0.00019	-0.00584	0.00008	0.13231	0.30346
-4.50000	-195.89061	0.32721	0.00018	0.00019	-0.00589	0.00003	-0.04928	0.09775
-4.60000	-199.93357	0.31700	0.00023	0.00019	-0.00588	0.00006	-0.01709	0.16195
-4.70000	-205.67049	0.52333	0.00019	0.00020	-0.00589	0.00001	-0.06658	0.08728
-4.80000	-209.22943	0.26597	0.00027	0.00019	-0.00588	0.00005	-0.02649	0.20353
-4.90000	-214.34216	0.56671	0.00038	0.00019	-0.00591	0.00003	-0.16754	0.17685
-5.00000	-218.81566	0.57781	0.00038	0.00011	-0.00580	0.00005	0.25776	0.25469
-5.10000	-223.60199	0.40551	0.00028	0.00012	-0.00584	0.00008	0.12967	0.27134
-5.20000	-228.79954	0.53992	0.00024	0.00017	-0.00584	0.00004	0.12096	0.19003
-5.30000	-233.22438	0.31248	0.00018	0.00024	-0.00591	0.00003	-0.13618	0.07025
-5.40000	-237.25958	0.10817	0.00028	0.00012	-0.00591	0.00006	-0.13792	0.19114
-5.50000	-242.22025	0.36624	0.00024	0.00020	-0.00592	0.00004	-0.18191	0.23245
-5.60000	-246.59432	0.19936	0.00019	0.00012	-0.00585	0.00006	0.09819	0.23164
-5.70000	-251.70563	0.54296	0.00019	0.00010	-0.00591	0.00004	-0.14977	0.24188
-5.80000	-256.26096	0.66405	0.00019	0.00008	-0.00586	0.00003	0.04866	0.11148
-5.90000	-259.51004	0.58558	0.00013	0.00013	-0.00589	0.00007	-0.05062	0.19251
-6.00000	-265.45657	0.35475	0.00018	0.00013	-0.00596	0.00005	-0.30374	0.24975
-6.10000	-269.49955	0.16244	0.00034	0.00011	-0.00588	0.00004	-0.04894	0.21264
-6.20000	-273.38050	0.19140	0.00036	0.00011	-0.00580	0.00005	0.22664	0.22400
-6.30000	-278.37697	0.38140	0.00030	0.00010	-0.00593	0.00003	-0.20471	0.20193
