#comment:								
#pole shoe :	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I	B	HallErr	avgDiff	errDiff	avgSum	errSum	avgR	errR
3.40000	165.45488	0.61722	0.05876	0.00074	0.07445	0.00005	0.39791	0.01540
3.30000	162.03006	0.29459	0.06011	0.00066	0.07445	0.00004	0.40817	0.02134
3.20000	157.59326	0.26799	0.05966	0.00110	0.07444	0.00006	0.40273	0.02015
3.10000	152.80760	0.11012	0.05853	0.00115	0.07454	0.00007	0.42383	0.01776
3.00000	148.37557	0.41924	0.05857	0.00118	0.07438	0.00005	0.37616	0.01943
2.90000	143.77687	0.27013	0.05853	0.00108	0.07440	0.00007	0.38302	0.02177
2.80000	139.64373	0.32847	0.05789	0.00106	0.07438	0.00006	0.37274	0.02358
2.70000	135.29993	0.31121	0.05808	0.00037	0.07442	0.00004	0.38480	0.01891
2.60000	130.27817	0.31189	0.05690	0.00067	0.07455	0.00002	0.41642	0.01504
2.50000	126.22449	0.29108	0.05823	0.00113	0.07431	0.00004	0.35456	0.01935
2.40000	121.65735	0.58783	0.05711	0.00067	0.07440	0.00007	0.37222	0.01503
2.30000	116.75901	0.30530	0.05725	0.00117	0.07441	0.00005	0.37676	0.02142
2.20000	112.39196	0.30876	0.05719	0.00089	0.07456	0.00004	0.42186	0.00496
2.10000	108.66148	0.17430	0.05589	0.00039	0.07441	0.00004	0.36762	0.00855
2.00000	103.20412	0.29764	0.05647	0.00109	0.07443	0.00007	0.37864	0.01752
2.00000	102.79380	0.29297	0.05583	0.00070	0.07445	0.00009	0.37792	0.03044
1.90000	99.38832	0.27760	0.05717	0.00148	0.07441	0.00005	0.37498	0.01822
1.80000	94.55673	0.22302	0.05599	0.00145	0.07437	0.00006	0.35743	0.01340
1.70000	90.58542	0.24179	0.05445	0.00128	0.07441	0.00008	0.35898	0.02721
1.60000	85.73444	0.21600	0.05898	0.00066	0.07430	0.00008	0.35575	0.02803
1.50000	80.97581	0.21697	0.04390	0.00096	0.07443	0.00007	0.29168	0.02437
1.40000	77.08177	0.42938	0.03788	0.00090	0.07445	0.00006	0.25732	0.00924
1.30000	71.97029	0.40187	0.03437	0.00100	0.07443	0.00006	0.22771	0.02257
1.20000	67.20560	0.30390	0.03071	0.00036	0.07442	0.00009	0.20180	0.01864
1.10000	62.49382	0.13796	0.02849	0.00083	0.07444	0.00005	0.19298	0.01739
